"","task_Type","Congruency","present_time","num_ratio","SurfAreaRatio","CH_Ratio","ADS_Ratio","Density_Ratio","mean_seen"
"1","Numerical Judgment","Congruent","0.017",0.5,0.1374,0.49,0.2748,0.2804,0.571428571428571
"2","Numerical Judgment","Congruent","0.017",0.5,0.1548,0.4878,0.3096,0.3174,0.555555555555556
"3","Numerical Judgment","Congruent","0.017",0.5,0.1572,0.4805,0.3143,0.3271,0.727272727272727
"4","Numerical Judgment","Congruent","0.017",0.5,0.1674,0.4922,0.3349,0.3401,0.428571428571429
"5","Numerical Judgment","Congruent","0.017",0.5,0.1764,0.49,0.3527,0.3599,0.5
"6","Numerical Judgment","Congruent","0.017",0.5,0.1796,0.5002,0.3592,0.3591,0.555555555555556
"7","Numerical Judgment","Congruent","0.017",0.5,0.1836,0.4843,0.3671,0.379,0.8
"8","Numerical Judgment","Congruent","0.017",0.5,0.1928,0.4956,0.3856,0.3891,0.5
"9","Numerical Judgment","Congruent","0.017",0.5,0.1933,0.4931,0.3867,0.3921,0.454545454545455
"10","Numerical Judgment","Congruent","0.017",0.5,0.2002,0.4817,0.4003,0.4155,0.333333333333333
"11","Numerical Judgment","Congruent","0.017",0.5,0.2063,0.4776,0.4126,0.432,0.428571428571429
"12","Numerical Judgment","Congruent","0.017",0.5,0.2097,0.4878,0.4195,0.4299,0.7
"13","Numerical Judgment","Congruent","0.017",0.5,0.2157,0.4924,0.4314,0.438,0.444444444444444
"14","Numerical Judgment","Congruent","0.017",0.5,0.22,0.4937,0.4399,0.4455,0.777777777777778
"15","Numerical Judgment","Congruent","0.017",0.5,0.2231,0.4988,0.4462,0.4473,0.833333333333333
"16","Numerical Judgment","Congruent","0.017",0.5,0.2264,0.4854,0.4529,0.4665,0.5
"17","Numerical Judgment","Congruent","0.017",0.5,0.231,0.4795,0.462,0.4818,0.428571428571429
"18","Numerical Judgment","Congruent","0.017",0.5,0.2628,0.4939,0.5256,0.5321,0.428571428571429
"19","Numerical Judgment","Congruent","0.017",0.5,0.2751,0.496,0.5502,0.5546,0.5
"20","Numerical Judgment","Congruent","0.017",0.5,0.2891,0.4876,0.5782,0.5929,0.6
"21","Numerical Judgment","Congruent","0.017",0.5,0.2943,0.4861,0.5885,0.6054,0.5
"22","Numerical Judgment","Congruent","0.017",0.5,0.2976,0.5007,0.5952,0.5944,0.75
"23","Numerical Judgment","Congruent","0.017",0.5,0.4456,0.499,0.8912,0.893,0.833333333333333
"24","Numerical Judgment","Congruent","0.017",0.5,0.4863,0.4982,0.9725,0.976,0.8
"25","Numerical Judgment","Congruent","0.017",0.5,0.5463,0.4871,0.9152,0.8916,0.166666666666667
"26","Numerical Judgment","Congruent","0.017",0.5,1.6648,0.489,0.8324,0.814,0.4
"27","Numerical Judgment","Congruent","0.017",0.5,2.1137,0.4946,0.9462,0.9566,0.625
"28","Numerical Judgment","Congruent","0.017",0.5,2.3569,0.4976,0.8486,0.8526,0.375
"29","Numerical Judgment","Congruent","0.017",0.5,3.233,0.4942,0.6186,0.6259,0.6
"30","Numerical Judgment","Congruent","0.017",0.5,3.3684,0.4965,0.5938,0.598,0.25
"31","Numerical Judgment","Congruent","0.017",0.5,3.5199,0.4837,0.5682,0.5874,0.636363636363636
"32","Numerical Judgment","Congruent","0.017",0.5,3.7265,0.5159,0.5367,0.5202,0.5
"33","Numerical Judgment","Congruent","0.017",0.5,3.7589,0.4797,0.5321,0.5546,0.5
"34","Numerical Judgment","Congruent","0.017",0.5,3.7682,0.5074,0.5308,0.523,0.666666666666667
"35","Numerical Judgment","Congruent","0.017",0.5,3.8435,0.4889,0.5204,0.5321,0.25
"36","Numerical Judgment","Congruent","0.017",0.5,3.8672,0.4943,0.5172,0.5231,0.75
"37","Numerical Judgment","Congruent","0.017",0.5,4.1676,0.479,0.4799,0.5009,0.571428571428571
"38","Numerical Judgment","Congruent","0.017",0.5,4.3337,0.4954,0.4615,0.4658,0.692307692307692
"39","Numerical Judgment","Congruent","0.017",0.5,4.3515,0.5051,0.4596,0.455,0.727272727272727
"40","Numerical Judgment","Congruent","0.017",0.5,4.4278,0.4929,0.4517,0.4582,0.375
"41","Numerical Judgment","Congruent","0.017",0.5,5.1029,0.4866,0.3919,0.4027,0.6
"42","Numerical Judgment","Congruent","0.017",0.5,5.1365,0.496,0.3894,0.3925,0.428571428571429
"43","Numerical Judgment","Congruent","0.017",0.5,5.1397,0.4865,0.3891,0.3999,0.8
"44","Numerical Judgment","Congruent","0.017",0.5,5.1433,0.49,0.3889,0.3968,0.666666666666667
"45","Numerical Judgment","Congruent","0.017",0.5,5.1985,0.4881,0.3847,0.3941,0.454545454545455
"46","Numerical Judgment","Congruent","0.017",0.5,5.38,0.4998,0.3717,0.3719,0.444444444444444
"47","Numerical Judgment","Congruent","0.017",0.5,5.5582,0.4747,0.3598,0.379,0.363636363636364
"48","Numerical Judgment","Congruent","0.017",0.5,6.4157,0.4802,0.3117,0.3246,0.4
"49","Numerical Judgment","Congruent","0.017",0.5,7.9587,0.4803,0.2513,0.2616,0.8
"50","Numerical Judgment","Congruent","0.017",0.5,9.1486,0.476,0.2186,0.2296,0.75
"51","Numerical Judgment","Congruent","0.017",0.6,0.1294,0.5772,0.2156,0.2241,0.8
