"","task_Type","Congruency","num_ratio","CH_Ratio","Density_Ratio","Surface_Ratio","ADS_Ratio","present_time","seen"
"1","Numerical judgment","Congruent","0.5",0.4338,0.2325,0.1009,0.2017,0.017,0.307692307692308
"2","Numerical judgment","Congruent","0.5",0.4338,0.2325,0.1009,0.2017,0.034,0.5
"3","Numerical judgment","Congruent","0.5",0.4338,0.2325,0.1009,0.2017,0.1,1
"4","Numerical judgment","Congruent","0.5",0.4338,0.2325,0.1009,0.2017,0.5,1
"5","Numerical judgment","Congruent","0.5",0.4348,0.2315,0.1007,0.2013,0.017,0.416666666666667
"6","Numerical judgment","Congruent","0.5",0.4348,0.2315,0.1007,0.2013,0.034,0.428571428571429
"7","Numerical judgment","Congruent","0.5",0.4348,0.2315,0.1007,0.2013,0.1,0.923076923076923
"8","Numerical judgment","Congruent","0.5",0.4348,0.2315,0.1007,0.2013,0.5,1
"9","Numerical judgment","Congruent","0.5",0.4382,0.2276,0.0997,0.1995,0.017,0.5
"10","Numerical judgment","Congruent","0.5",0.4382,0.2276,0.0997,0.1995,0.034,0.444444444444444
"11","Numerical judgment","Congruent","0.5",0.4382,0.2276,0.0997,0.1995,0.1,0.875
"12","Numerical judgment","Congruent","0.5",0.4382,0.2276,0.0997,0.1995,0.5,1
"13","Numerical judgment","Congruent","0.5",0.4398,0.2264,0.0996,0.1991,0.017,0.555555555555556
"14","Numerical judgment","Congruent","0.5",0.4398,0.2264,0.0996,0.1991,0.034,0.545454545454545
"15","Numerical judgment","Congruent","0.5",0.4398,0.2264,0.0996,0.1991,0.1,1
"16","Numerical judgment","Congruent","0.5",0.4398,0.2264,0.0996,0.1991,0.5,0.875
"17","Numerical judgment","Congruent","0.5",0.4418,0.2269,0.1002,0.2004,0.017,0.272727272727273
"18","Numerical judgment","Congruent","0.5",0.4418,0.2269,0.1002,0.2004,0.034,0.538461538461538
"19","Numerical judgment","Congruent","0.5",0.4418,0.2269,0.1002,0.2004,0.1,1
"20","Numerical judgment","Congruent","0.5",0.4418,0.2269,0.1002,0.2004,0.5,1
"21","Numerical judgment","Congruent","0.5",0.4436,0.2263,0.1004,0.2008,0.017,0.6
"22","Numerical judgment","Congruent","0.5",0.4436,0.2263,0.1004,0.2008,0.034,0.5
"23","Numerical judgment","Congruent","0.5",0.4436,0.2263,0.1004,0.2008,0.1,0.857142857142857
"24","Numerical judgment","Congruent","0.5",0.4436,0.2263,0.1004,0.2008,0.5,1
"25","Numerical judgment","Congruent","0.5",0.4457,0.2243,0.1,0.1999,0.017,0.555555555555556
"26","Numerical judgment","Congruent","0.5",0.4457,0.2243,0.1,0.1999,0.034,0.428571428571429
"27","Numerical judgment","Congruent","0.5",0.4457,0.2243,0.1,0.1999,0.1,0.857142857142857
"28","Numerical judgment","Congruent","0.5",0.4457,0.2243,0.1,0.1999,0.5,1
"29","Numerical judgment","Congruent","0.5",0.446,0.2241,0.0999,0.1999,0.017,0.454545454545455
"30","Numerical judgment","Congruent","0.5",0.446,0.2241,0.0999,0.1999,0.034,0.545454545454545
"31","Numerical judgment","Congruent","0.5",0.446,0.2241,0.0999,0.1999,0.1,1
